  TITLE= "EXAMPLE: 2D FININTE-ELEMENT DATA" 
  ZONE N=          86  ,E=           66 
  , DATAPACKING=POINT, ZONETYPE=FEQUADRILATERAL
 -29.650000000   5.396000000   9.053265056  -0.193461717
 -20.000000000   5.542000000   9.079731665   0.613716731
 -20.000000000   6.650000000   8.683214745   0.868042078
 -29.650000000   6.475000000   8.493799522  -0.141246436
 -29.650000000   3.237000000   9.135756842  -0.215889731
 -20.000000000   3.325000000   9.178246107   0.482063447
 -29.650000000   0.000000000   9.273819817  -0.235380871
 -20.000000000   0.000000000   9.293043720   0.394633856
 -36.083000000   5.299000000   9.066075512  -0.265144918
 -36.083000000   6.358000000   8.557509006  -0.260448495
 -36.083000000   3.179000000   9.077051881  -0.302450343
 -36.083000000   0.000000000   9.169115510  -0.303033164
 -39.300000000   5.250000000   8.713171844  -0.286484243
 -39.300000000   6.300000000   8.483928071  -0.310591973
 -39.300000000   3.150000000   8.692003764  -0.279214903
 -39.300000000   0.000000000   8.701095621  -0.270329685
  15.000000000   5.542000000   9.243649142  -0.016438493
  20.000000000   5.542000000   8.775669669  -0.123374385
  20.000000000   6.650000000   8.771282015  -0.143229381
  15.000000000   6.650000000   9.200937106  -0.089763594
  15.000000000   3.325000000   9.283720850   0.110068767
  20.000000000   3.325000000   8.776194943  -0.024252034
  15.000000000   0.000000000   9.295489303   0.175909988
  20.000000000   0.000000000   8.776727742   0.045243803
   0.000000000   5.542000000   9.304646852   0.526903242
   0.000000000   6.650000000   9.259450534   0.418624832
   0.000000000   3.325000000   9.326839031   0.644837380
   0.000000000   0.000000000   9.332142212   0.741810520
 -15.000000000   5.542000000   9.278261707   0.782001191
 -15.000000000   6.650000000   9.304376790   0.678736452
 -15.000000000   3.325000000   9.306452979   0.776614097
 -15.000000000   0.000000000   9.313315135   0.735868647
  15.000000000  10.322000000   9.015002837  -0.176091417
  20.000000000  10.067000000   8.749431274  -0.157631194
  20.000000000  10.750000000   8.566488879  -0.153923501
  15.000000000  11.056000000   8.568722121  -0.167139195
  15.000000000   8.853000000   9.079188711  -0.141763281
  20.000000000   8.700000000   8.779032428  -0.160166403
   0.000000000  11.088000000   9.027464160   0.206632981
   0.000000000  11.975000000   8.540175086   0.187840544
   0.000000000   9.312000000   9.109788117   0.270612660
 -15.000000000  11.853000000   9.073041525  -0.097959593
 -15.000000000  12.894000000   8.541355704  -0.198688120
 -15.000000000   9.772000000   9.122386408   0.091478732
 -20.000000000  12.108000000   8.785071943  -0.124465786
 -20.000000000  13.200000000   8.497402299  -0.140703036
 -20.000000000   9.925000000   8.790402538   0.336632872
 -29.650000000  -6.475000000   8.493799540  -0.141246390
 -20.000000000  -6.650000000   8.683214672   0.868042062
 -20.000000000  -5.542000000   9.079731636   0.613716702
 -29.650000000  -5.396000000   9.053265118  -0.193461731
 -20.000000000  -3.325000000   9.178246036   0.482063417
 -29.650000000  -3.237000000   9.135756831  -0.215889686
 -36.083000000  -6.358000000   8.557509004  -0.260448506
 -36.083000000  -5.299000000   9.066075538  -0.265144918
