  TITLE= "EXAMPLE: 2D FININTE-ELEMENT DATA" 
  ZONE N=          35  ,E=           24 
  , DATAPACKING=POINT, ZONETYPE=FEQUADRILATERAL
  48.750000000  23.333000000  20.926500000   0.278500000
  65.000000000  23.333000000  20.271200000   0.264400000
  65.000000000  28.000000000  19.428700000   0.281500000
  48.750000000  28.000000000  19.697300000   0.427000000
  48.750000000  14.000000000  20.825200000   0.153500000
  65.000000000  14.000000000  20.205700000   0.235800000
  48.750000000   0.000000000  20.845800000   0.151600000
  65.000000000   0.000000000  20.218400000   0.228700000
   0.000000000  23.333000000  20.800300000   0.278500000
   0.000000000  28.000000000  19.645700000   0.404100000
   0.000000000  14.000000000  20.705900000   0.140000000
   0.000000000   0.000000000  20.724900000   0.125600000
 -48.750000000  23.333000000  20.926500000   0.278500000
 -48.750000000  28.000000000  19.697300000   0.427000000
 -48.750000000  14.000000000  20.825200000   0.153500000
 -48.750000000   0.000000000  20.845800000   0.151600000
 -65.000000000  23.333000000  20.271300000   0.264400000
 -65.000000000  28.000000000  19.428700000   0.281500000
 -65.000000000  14.000000000  20.205700000   0.235800000
 -65.000000000   0.000000000  20.218400000   0.228700000
  48.750000000 -28.000000000  19.697300000   0.427000000
  65.000000000 -28.000000000  19.428700000   0.281500000
  65.000000000 -23.333000000  20.271300000   0.264400000
  48.750000000 -23.333000000  20.926500000   0.278500000
  65.000000000 -14.000000000  20.205700000   0.235800000
  48.750000000 -14.000000000  20.825200000   0.153500000
   0.000000000 -28.000000000  19.645700000   0.404100000
   0.000000000 -23.333000000  20.800300000   0.278500000
   0.000000000 -14.000000000  20.705900000   0.140000000
 -48.750000000 -28.000000000  19.697300000   0.427000000
 -48.750000000 -23.333000000  20.926500000   0.278500000
 -48.750000000 -14.000000000  20.825200000   0.153500000
 -65.000000000 -28.000000000  19.428700000   0.281500000
 -65.000000000 -23.333000000  20.271200000   0.264400000
 -65.000000000 -14.000000000  20.205700000   0.235800000
       1       2       3       4
       5       6       2       1
       7       8       6       5
       9       1       4      10
      11       5       1       9
      12       7       5      11
      13       9      10      14
      15      11       9      13
      16      12      11      15
      17      13      14      18
      19      15      13      17
      20      16      15      19
      21      22      23      24
      24      23      25      26
      26      25       8       7
      27      21      24      28
      28      24      26      29
      29      26       7      12
      30      27      28      31
      31      28      29      32
      32      29      12      16
      33      30      31      34
      34      31      32      35
      35      32      16      20
