  TITLE= "EXAMPLE: 2D FININTE-ELEMENT DATA" 
  ZONE N=          35  ,E=           24 
  , DATAPACKING=POINT, ZONETYPE=FEQUADRILATERAL
  48.750000000  23.333000000  15.059700000   1.089200000
  65.000000000  23.333000000  14.681900000   0.994400000
  65.000000000  28.000000000  14.044700000   1.115400000
  48.750000000  28.000000000  14.240300000   1.166000000
  48.750000000  14.000000000  14.948100000   0.959300000
  65.000000000  14.000000000  14.559900000   0.999600000
  48.750000000   0.000000000  14.977700000   0.853700000
  65.000000000   0.000000000  14.595000000   0.980000000
   0.000000000  23.333000000  14.987200000   1.076300000
   0.000000000  28.000000000  14.201300000   1.157100000
   0.000000000  14.000000000  14.873500000   0.957400000
   0.000000000   0.000000000  14.904100000   0.857800000
 -48.750000000  23.333000000  15.059700000   1.089200000
 -48.750000000  28.000000000  14.240300000   1.166000000
 -48.750000000  14.000000000  14.948100000   0.959300000
 -48.750000000   0.000000000  14.977700000   0.853700000
 -65.000000000  23.333000000  14.681900000   0.994400000
 -65.000000000  28.000000000  14.044700000   1.115400000
 -65.000000000  14.000000000  14.559900000   0.999600000
 -65.000000000   0.000000000  14.595000000   0.980000000
  48.750000000 -28.000000000  14.240300000   1.166000000
  65.000000000 -28.000000000  14.044700000   1.115400000
  65.000000000 -23.333000000  14.681900000   0.994400000
  48.750000000 -23.333000000  15.059700000   1.089200000
  65.000000000 -14.000000000  14.559900000   0.999600000
  48.750000000 -14.000000000  14.948100000   0.959300000
   0.000000000 -28.000000000  14.201300000   1.157100000
   0.000000000 -23.333000000  14.987200000   1.076300000
   0.000000000 -14.000000000  14.873500000   0.957400000
 -48.750000000 -28.000000000  14.240300000   1.166000000
 -48.750000000 -23.333000000  15.059700000   1.089200000
 -48.750000000 -14.000000000  14.948100000   0.959300000
 -65.000000000 -28.000000000  14.044700000   1.115400000
 -65.000000000 -23.333000000  14.681900000   0.994400000
 -65.000000000 -14.000000000  14.559900000   0.999600000
       1       2       3       4
       5       6       2       1
       7       8       6       5
       9       1       4      10
      11       5       1       9
      12       7       5      11
      13       9      10      14
      15      11       9      13
      16      12      11      15
      17      13      14      18
      19      15      13      17
      20      16      15      19
      21      22      23      24
      24      23      25      26
      26      25       8       7
      27      21      24      28
      28      24      26      29
      29      26       7      12
      30      27      28      31
      31      28      29      32
      32      29      12      16
      33      30      31      34
      34      31      32      35
      35      32      16      20
0000  14.948100000   0.959300000
 -65.000000000 -28.000000000  14.044700000   1.11540000
