[2023-03-31 20:48:16.709] [INFO] [org.hibernate.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.0.Final
[2023-03-31 20:48:16.718] [INFO] [com.example.dampouring.DamPouringApplication] - Starting DamPouringApplication using Java 1.8.0_151 on LIZL with PID 17108 (C:\Users\91036\IdeaProjects\handong\target\classes started by 91036 in C:\Users\91036\IdeaProjects\handong)
[2023-03-31 20:48:16.719] [INFO] [com.example.dampouring.DamPouringApplication] - No active profile set, falling back to default profiles: default
[2023-03-31 20:48:17.221] [WARN] [org.mybatis.spring.mapper.ClassPathMapperScanner] - Skipping MapperFactoryBean with name 'mixingTempYcMapper' and 'com.example.dampouring.model.dao.db2.MixingTempYcMapper' mapperInterface. Bean already defined with the same name!
[2023-03-31 20:48:17.610] [INFO] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 9091 (http)
[2023-03-31 20:48:17.614] [INFO] [org.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-9091"]
[2023-03-31 20:48:17.614] [INFO] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
[2023-03-31 20:48:17.614] [INFO] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.54]
[2023-03-31 20:48:17.661] [INFO] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/dam]] - Initializing Spring embedded WebApplicationContext
[2023-03-31 20:48:17.661] [INFO] [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 926 ms
[2023-03-31 20:48:18.592] [INFO] [springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping] - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
[2023-03-31 20:48:18.758] [INFO] [org.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-9091"]
[2023-03-31 20:48:18.765] [INFO] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 9091 (http) with context path '/dam'
[2023-03-31 20:48:18.765] [INFO] [springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper] - Context refreshed
[2023-03-31 20:48:18.773] [INFO] [springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper] - Found 1 custom documentation plugin(s)
[2023-03-31 20:48:18.795] [INFO] [springfox.documentation.spring.web.scanners.ApiListingReferenceScanner] - Scanning for api listing references
[2023-03-31 20:48:18.849] [WARN] [springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader] - Trying to infer dataType org.springframework.ui.ModelMap
[2023-03-31 20:48:18.873] [WARN] [springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader] - Trying to infer dataType org.springframework.ui.ModelMap
[2023-03-31 20:48:18.873] [INFO] [springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator] - Generating unique operation named: exportMemberListUsingGET_1
[2023-03-31 20:48:18.874] [INFO] [springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator] - Generating unique operation named: listBigSegementUsingGET_1
[2023-03-31 20:48:18.880] [INFO] [springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator] - Generating unique operation named: listBigSegementUsingGET_2
